source,target,weight
10.17.181.104,172.28.193.157,29
172.18.17.20,172.28.193.157,19
172.18.17.56,172.28.193.157,12
172.28.208.188,108.59.2.24,1
172.28.209.73,172.18.17.48,462
172.28.209.73,172.28.211.45,12107
172.28.211.45,172.18.17.48,213
172.28.211.45,172.28.209.73,16981
97.107.128.58,172.28.198.11,1
172.18.17.94,172.28.198.11,318
172.28.198.11,10.17.181.104,19
172.28.198.11,172.28.193.157,53557
172.28.198.11,199.223.248.100,1
199.223.248.100,172.28.198.11,1
172.28.193.157,172.18.17.20,12
172.28.193.157,172.18.17.56,6
172.28.193.157,172.28.198.11,53804
172.28.198.11,97.107.128.58,1
172.28.209.73,172.18.17.38,859
172.28.209.73,172.28.208.188,9474
172.28.211.45,172.18.17.38,176
172.28.211.45,172.28.208.188,22100
10.17.181.104,172.28.198.11,19
172.18.17.20,172.28.198.11,17
172.18.17.56,172.28.198.11,12
172.28.208.188,172.28.209.73,11723
172.28.208.188,172.28.211.45,19844
199.59.148.229,172.28.193.157,1969
45.35.50.61,172.28.209.73,1
172.28.198.11,172.18.17.20,9
172.28.198.11,172.18.17.56,6
172.28.209.73,10.17.181.104,52
172.28.209.73,172.28.193.157,16963
172.28.211.45,10.17.181.104,33
172.28.211.45,172.28.193.157,33427
172.28.211.45,69.89.207.99,1
50.116.52.97,172.28.193.157,1
69.89.207.99,172.28.208.188,1
69.89.207.99,172.28.211.45,1
108.59.2.24,172.28.208.188,1
108.59.2.24,172.28.209.73,1
108.59.2.24,172.28.211.45,1
172.18.17.21,172.28.209.73,1654
172.18.17.21,172.28.211.45,36
172.18.17.94,172.28.209.73,6882
172.28.193.157,50.116.52.97,1
172.28.198.11,172.18.17.94,158
172.28.208.188,10.17.181.104,24
172.28.208.188,172.28.193.157,28762
172.28.208.188,69.89.207.99,1
172.18.17.38,172.28.209.73,1064
172.18.17.38,172.28.211.45,322
172.28.193.157,172.28.208.188,31886
172.28.193.157,172.28.209.73,18677
172.28.193.157,172.28.211.45,41426
172.28.211.45,172.18.17.18,5
10.17.181.104,172.28.209.73,52
10.17.181.104,172.28.211.45,32
172.18.17.19,172.28.211.45,1
172.18.17.20,172.28.209.73,250
172.18.17.20,172.28.211.45,20
172.18.17.56,172.28.209.73,20
172.18.17.56,172.28.211.45,284
172.28.209.73,172.18.17.20,238
172.28.209.73,172.18.17.56,10
172.28.209.73,172.28.198.11,11261
172.28.209.73,23.239.26.89,1
172.28.211.45,172.18.17.19,2
172.28.211.45,172.18.17.20,12
172.28.211.45,172.18.17.56,161
172.28.211.45,172.28.198.11,33169
172.28.211.45,172.28.208.1,1
172.28.193.157,10.17.181.104,29
172.28.208.1,172.28.211.45,1
172.28.208.188,172.18.17.20,11
172.28.208.188,172.18.17.56,18
172.28.209.73,172.18.17.21,1635
172.28.209.73,172.18.17.94,3150
172.28.209.73,45.35.50.61,1
172.28.211.45,172.18.17.21,19
10.17.181.104,172.28.208.188,25
172.18.17.20,172.28.208.188,20
172.18.17.56,172.28.208.188,34
172.18.255.29,172.28.209.73,2
172.18.255.30,172.28.209.73,2
172.28.193.157,199.59.148.229,844
172.18.17.48,172.28.209.73,601
172.18.17.48,172.28.211.45,331
172.28.198.11,172.28.208.188,26938
172.28.198.11,172.28.209.73,14583
172.28.198.11,172.28.211.45,36051
172.28.208.188,172.28.198.11,22643
172.28.209.73,108.59.2.24,1
172.28.211.45,108.59.2.24,1
23.239.26.89,172.28.209.73,1
23.239.26.89,172.28.211.45,1
